id,week,product,loan_amount,loan_duration,unpaid_debt,credit_score,accept,due,overdue,returned_amount
1,1,0,1000,83,0,66.81,1,1,0,1120.33
2,1,0,300,30,0,73.67,1,1,0,312.58
3,1,0,1100,72,0,43.27,0,,,
4,1,0,900,76,0,46.21,0,,,
5,1,0,400,70,0,51.8,1,1,0,440.23
6,1,0,1400,25,300,49.26,0,,,
7,1,0,400,26,0,51.9,1,1,0,414.49
8,1,0,1000,21,2000,52.62,1,1,0,1029.16
9,1,0,200,74,0,61.48,1,1,0,221.32
10,1,0,1100,87,0,57.1,1,1,0,1239.13
11,1,0,1400,82,0,58.52,1,1,0,1566.31
12,1,0,300,23,1500,71.24,1,1,0,309.60
13,1,0,1000,28,0,50.32,1,1,0,1039.07
14,1,0,100,45,5000,56.84,1,1,0,106.35
15,1,0,1300,83,0,40.42,0,,,
16,1,0,200,76,0,59.78,1,1,0,221.93
17,1,0,900,29,0,49.67,0,,,
18,1,0,900,84,0,45.22,0,,,
19,1,0,1100,35,5000,52.32,1,1,0,1153.99
20,1,0,900,75,0,60,1,1,0,997.31
21,1,0,1500,83,0,56.59,1,1,0,1680.49
22,1,0,1400,82,0,53.64,1,1,0,1566.31
23,1,0,800,74,0,67.18,1,1,0,885.29
24,1,0,300,75,0,40.86,0,,,
25,1,0,400,18,0,35.44,0,,,
26,1,0,1000,33,1500,45.39,0,,,
27,1,0,1400,31,0,79.35,1,1,0,1460.69
28,2,0,1500,16,0,65.92,1,1,0,1533.22
29,2,0,1500,82,5000,35.66,0,,,
30,2,0,1400,19,0,65.55,1,1,0,1436.89
31,2,0,300,90,5000,39.77,0,,,
32,2,0,400,35,5000,48.51,0,,,
33,2,0,300,17,0,50.17,1,1,0,307.06
34,2,0,900,26,0,66.64,1,1,0,932.61
35,2,0,1100,32,0,35.26,0,,,
36,2,0,1000,21,0,62.7,1,1,0,1029.16
37,2,0,1500,81,0,60.84,1,1,0,1675.90
38,2,0,1500,82,5000,55.48,1,1,0,1678.19
39,2,0,200,75,0,53.11,1,1,0,221.63
40,2,0,600,75,1050,17.15,0,,,
41,2,0,200,89,0,66.56,1,1,0,225.91
42,2,0,1400,20,650,34.91,0,,,
43,2,0,900,77,0,59.76,1,1,0,1000.05
44,2,0,100,20,0,53.97,1,1,0,102.78
45,2,0,400,64,0,43.12,0,,,
46,2,0,900,90,0,30.04,0,,,
47,2,0,800,32,0,55.68,1,1,0,835.82
48,2,0,200,24,0,54.16,1,1,0,206.68
49,2,0,300,82,0,45.53,0,,,
50,2,0,1500,35,1500,18.38,0,,,
51,2,0,100,34,0,60.02,1,1,0,104.76
52,2,0,1400,82,0,58.26,1,1,0,1566.31
53,2,0,1500,82,0,40.08,0,,,
54,2,0,800,85,1500,44.9,0,,,
55,2,0,500,29,5000,40.4,0,,,
56,2,0,1500,80,0,65.15,1,1,0,1673.60
57,2,0,500,78,0,51.4,1,1,0,556.34
58,2,0,1500,82,3000,28.71,0,,,
59,2,0,300,73,0,57.61,1,1,0,331.53
60,2,0,400,30,0,58.63,1,1,0,416.77
61,2,0,1000,21,0,55.1,1,1,0,1029.16
62,2,0,1500,90,2000,49.2,0,,,
63,2,0,900,79,3000,59.03,1,1,0,1002.79
64,2,0,1000,87,1500,44.17,0,,,
65,2,0,400,28,0,61.16,1,1,0,415.63
66,2,0,900,77,0,63.83,1,1,0,1000.05
67,2,0,1000,80,0,39.78,0,,,
68,2,0,1500,82,0,63.16,1,1,0,1678.19
69,2,0,1400,90,0,39.32,0,,,
70,2,0,300,19,0,50.39,1,1,0,307.91
71,2,0,1000,43,0,48.59,0,,,
72,2,0,1400,81,1100,46.11,0,,,
73,2,0,400,28,0,53.57,1,1,0,415.63
74,2,0,800,76,5000,49.29,0,,,
75,2,0,400,22,950,52.73,1,1,0,412.23
76,2,0,1400,16,0,60.02,1,1,0,1431.00
77,2,0,1400,88,0,60.01,1,1,0,1579.23
78,2,0,200,29,5000,47.61,0,,,
79,2,0,1400,40,0,58.84,1,1,0,1478.80
80,2,0,1400,83,5000,31.97,0,,,
81,2,0,300,86,0,50.44,1,1,0,337.48
82,2,0,1100,44,0,53.49,1,1,0,1168.29
83,2,0,1400,81,0,52.61,1,1,0,1564.17
84,2,0,900,74,0,62.56,1,1,0,995.95
85,2,0,1500,88,0,42.35,0,,,
86,2,0,800,75,450,42.21,0,,,
87,2,0,1400,28,0,37.15,0,,,
88,2,0,300,30,0,51.31,1,1,0,312.58
89,2,0,500,74,0,63.74,1,1,0,553.30
90,2,0,500,78,0,62.31,1,1,0,556.34
91,2,0,200,25,0,37.85,0,,,
92,2,0,300,26,0,37.36,0,,,
93,2,0,300,76,5000,46.17,0,,,
94,2,0,1000,25,5000,43.91,0,,,
